"code","site","species"
"0401","Siecino",""
"0402","Siecino",""
"0404","Siecino",""
"0405","Siecino",""
"0406","Siecino",""
"0407","Siecino",""
"0408","Siecino",""
"0409","Siecino",""
"0410","Siecino",""
"0411","Siecino",""
"0504","Siecino",""
"0508","Siecino",""
"0512","Siecino",""
"0709","Siecino",""
"0710","Siecino",""
"0712","Siecino",""
"0902","Drawsko",""
"0903","Siecino",""
"0905","Siecino",""
"0908","Drawsko",""
"0909","Drawsko",""
"0911","Drawsko",""
"0801","Insko",""
"0803","Insko",""
"0805","Insko",""
"0807","Insko",""
"0808","Insko",""
"0809","Insko",""
"0811","Insko",""
"0812","Insko",""
"1001","Insko",""
"1002","Insko",""
"1003","Insko",""
"1006","Insko",""
"1007","Insko",""
"1008","Insko",""
"1009","Insko",""
"1011","Insko",""
"1012","Insko",""
"1201","Glebokie",""
"1202","Glebokie",""
"1204","Glebokie",""
"1207","Glebokie",""
"1210","Glebokie",""
"1212","Glebokie",""
"1308","Glebokie",""
"1309","Glebokie",""
"1312","Glebokie",""
"1402","Glebokie",""
"1405","Glebokie",""
"1409","Glebokie",""
"1412","Glebokie",""
"1602","Glebokie",""
"1603","Glebokie",""
"1605","Glebokie",""
"1607","Glebokie",""
"1609","Glebokie",""
"1611","Glebokie",""
"1505","Glebokie",""
"1506","Glebokie",""
"1507","Glebokie",""
"1704","Glebokie",""
"1706","Glebokie",""
"1707","Glebokie",""
"1802","Odra",""
"1805","Odra",""
"1808","Odra",""
"1810","Odra",""
"1811","Odra",""
"1902","Odra",""
"1904","Odra",""
"1906","Odra",""
"1911","Odra",""
"2002","Odra",""
"2008","Odra",""
"2011","Odra",""
"2012","Odra",""
"2101","Odra",""
"2106","Odra",""
"2110","Odra",""
"2112","Odra",""
"2203","Odra",""
"2204","Odra",""
"2206","Odra",""
"2209","Odra",""
"2901","Przeclaw",""
"2910","Przeclaw",""
"3407","Przeclaw",""
"3408","Przeclaw",""
