"data_sheet","collection_date","site","habitat","experiment_date","collection_temp","exp_start","exp_end","ramp_start","water_bath","thermometer","exp_notes","tube","ctmax","order","genus","species","author","year","instar","sex","eggs","body_length_um","id_notes","low_lat","low_lat_elevation","high_lat","high_lat_elevation","lat_range","elev_range","mean_gs"
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep calanoid; no eggs",1,28.1,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","absent",972,"",NA,NA,NA,NA,NA,NA,0.8908286187
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep calanoid; no eggs; dead after assay",2,34.8,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1169,"",NA,NA,NA,NA,NA,NA,4.4749244646
4,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,15.5,4,3,"Shallow cyclo with eggs; dead after assay",3,36.1,"Cyclopoid","Thermocyclops","oithonoides","(Sars G.O.)",1863,"CVI","female","present",770,"",33.1,2080,67,NA,33.9,NA,NA
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep cal no eggs",4,29.1,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","present",1380.8,"",NA,NA,NA,NA,NA,NA,0.8908286187
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep cal no eggs",5,29.6,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","absent",1241.6,"",NA,NA,NA,NA,NA,NA,0.8908286187
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep cal with eggs",6,33.8,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1207.8,"",NA,NA,NA,NA,NA,NA,4.4749244646
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep cal no eggs",7,28.6,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CV","female","absent",1007.7,"",NA,NA,NA,NA,NA,NA,0.8908286187
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep cal no eggs",8,28.9,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","absent",1324.2,"",NA,NA,NA,NA,NA,NA,0.8908286187
4,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,15.5,4,3,"Deep cal no eggs",9,28.6,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CV","female","absent",1235.3,"",NA,NA,NA,NA,NA,NA,0.8908286187
4,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,15.5,4,3,"Shallow cal no eggs",10,32.8,"Calanoid","Eudiaptomus","sp.",NA,NA,"CV","female","absent",1124.8,"",NA,NA,NA,NA,NA,NA,NA
4,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,15.5,4,3,"Shallow cal with eggs; missing preserved sample",11,29.4,"Calanoid","","sp.",NA,NA,"","","absent",NA,"lack of tube",NA,NA,NA,NA,NA,NA,NA
