"code","order"
"0401","Calanoid"
"0402","Calanoid"
"0403","Cyclopoid"
"0404","Calanoid"
"0405","Calanoid"
"0406","Calanoid"
"0407","Calanoid"
"0408","Calanoid"
"0409","Calanoid"
"0410","Calanoid"
"0411","Calanoid"
"0502","Cyclopoid"
"0503","Cyclopoid"
"0504","Calanoid"
"0505","Cyclopoid"
"0506","Cyclopoid"
"0507","Cyclopoid"
"0508","Calanoid"
"0509","Cyclopoid"
"0510","Cyclopoid"
"0511","Cyclopoid"
"0512","Calanoid"
"0601","Cyclopoid"
"0602","Cyclopoid"
"0603","Cyclopoid"
"0604","Cyclopoid"
"0605","Cyclopoid"
"0606","Cyclopoid"
"0607","Cyclopoid"
"0608","Cyclopoid"
"0609","Cyclopoid"
"0610","Cyclopoid"
"0612","Cyclopoid"
"0701","Cyclopoid"
"0702","Cyclopoid"
"0704","Cyclopoid"
"0705","Cyclopoid"
"0706","Cyclopoid"
"0707","Cyclopoid"
"0708","Cyclopoid"
"0709","Calanoid"
"0710","Calanoid"
"0711","Cyclopoid"
"0712","Calanoid"
"0901","Cyclopoid"
"0902","Calanoid"
"0903","Calanoid"
"0905","Calanoid"
"0906","Cyclopoid"
"0907","Cyclopoid"
"0908","Calanoid"
"0909","Calanoid"
"0910","Cyclopoid"
"0911","Calanoid"
"0912","Cyclopoid"
"1101","Cyclopoid"
"1102","Cyclopoid"
"1103","Cyclopoid"
"1104","Cyclopoid"
"1105","Cyclopoid"
"1106","Cyclopoid"
"1107","Cyclopoid"
"1108","Cyclopoid"
"1109","Cyclopoid"
"1110","Cyclopoid"
"1111","Cyclopoid"
"0801","Calanoid"
"0802","Cyclopoid"
"0803","Calanoid"
"0804","Cyclopoid"
"0805","Calanoid"
"0807","Calanoid"
"0808","Calanoid"
"0809","Calanoid"
"0810","Cyclopoid"
"0811","Calanoid"
"0812","Calanoid"
"1001","Calanoid"
"1002","Calanoid"
"1003","Calanoid"
"1004","Cyclopoid"
"1006","Calanoid"
"1007","Calanoid"
"1008","Calanoid"
"1009","Calanoid"
"1010","Cyclopoid"
"1011","Calanoid"
"1012","Calanoid"
"1201","Calanoid"
"1202","Calanoid"
"1204","Calanoid"
"1205","Cyclopoid"
"1206","Cyclopoid"
"1207","Calanoid"
"1208","Cyclopoid"
"1209","Cyclopoid"
"1210","Calanoid"
"1211","Cyclopoid"
"1212","Calanoid"
"1301","Cyclopoid"
"1302","Cyclopoid"
"1303","Cyclopoid"
"1304","Cyclopoid"
"1306","Cyclopoid"
"1307","Cyclopoid"
"1308","Calanoid"
"1309","Calanoid"
"1310","Cyclopoid"
"1311","Cyclopoid"
"1312","Calanoid"
"1401","Cyclopoid"
"1402","Calanoid"
"1403","Cyclopoid"
"1405","Calanoid"
"1406","Cyclopoid"
"1407","Cyclopoid"
"1408","Cyclopoid"
"1409","Calanoid"
"1410","Cyclopoid"
"1411","Cyclopoid"
"1412","Calanoid"
"1601","Cyclopoid"
"1602","Calanoid"
"1603","Calanoid"
"1604","Cyclopoid"
"1605","Calanoid"
"1607","Calanoid"
"1608","Cyclopoid"
"1609","Calanoid"
"1610","Cyclopoid"
"1611","Calanoid"
"1612","Cyclopoid"
"1501","Cyclopoid"
"1502","Cyclopoid"
"1503","Cyclopoid"
"1504","Cyclopoid"
"1505","Calanoid"
"1506","Calanoid"
"1507","Calanoid"
"1508","Cyclopoid"
"1509","Cyclopoid"
"1510","Cyclopoid"
"1512","Cyclopoid"
"1701","Cyclopoid"
"1702","Cyclopoid"
"1703","Cyclopoid"
"1704","Calanoid"
"1705","Cyclopoid"
"1706","Calanoid"
"1707","Calanoid"
"1709","Cyclopoid"
"1710","Cyclopoid"
"1711","Cyclopoid"
"1802","Calanoid"
"1803","Cyclopoid"
"1804","Cyclopoid"
"1805","Calanoid"
"1806","Cyclopoid"
"1807","Cyclopoid"
"1808","Calanoid"
"1809","Cyclopoid"
"1810","Calanoid"
"1811","Calanoid"
"1812","Cyclopoid"
"1901","Cyclopoid"
"1902","Calanoid"
"1903","Cyclopoid"
"1904","Calanoid"
"1905","Cyclopoid"
"1906","Calanoid"
"1907","Cyclopoid"
"1909","Cyclopoid"
"1910","Cyclopoid"
"1911","Calanoid"
"1912","Cyclopoid"
"2001","Cyclopoid"
"2002","Calanoid"
"2003","Cyclopoid"
"2004","Cyclopoid"
"2005","Cyclopoid"
"2006","Cyclopoid"
"2008","Calanoid"
"2009","Cyclopoid"
"2010","Cyclopoid"
"2011","Calanoid"
"2012","Calanoid"
"2101","Calanoid"
"2102","Cyclopoid"
"2103","Cyclopoid"
"2104","Cyclopoid"
"2105","Cyclopoid"
"2106","Calanoid"
"2108","Cyclopoid"
"2109","Cyclopoid"
"2110","Calanoid"
"2111","Cyclopoid"
"2112","Calanoid"
"2201","Cyclopoid"
"2202","Cyclopoid"
"2203","Calanoid"
"2204","Calanoid"
"2205","Cyclopoid"
"2206","Calanoid"
"2207","Cyclopoid"
"2208","Cyclopoid"
"2209","Calanoid"
"2211","Cyclopoid"
"2212","Cyclopoid"
"2301","Cyclopoid"
"2302","Cyclopoid"
"2303","Cyclopoid"
"2304","Cyclopoid"
"2305","Cyclopoid"
"2306","Cyclopoid"
"2307","Cyclopoid"
"2308","Cyclopoid"
"2309","Cyclopoid"
"2310","Cyclopoid"
"2312","Cyclopoid"
"2401","Cyclopoid"
"2402","Cyclopoid"
"2403","Cyclopoid"
"2404","Cyclopoid"
"2405","Cyclopoid"
"2406","Cyclopoid"
"2407","Cyclopoid"
"2408","Cyclopoid"
"2409","Cyclopoid"
"2411","Cyclopoid"
"2412","Cyclopoid"
"2501","Cyclopoid"
"2502","Cyclopoid"
"2504","Cyclopoid"
"2505","Cyclopoid"
"2506","Cyclopoid"
"2507","Cyclopoid"
"2508","Cyclopoid"
"2509","Cyclopoid"
"2510","Cyclopoid"
"2511","Cyclopoid"
"2512","Cyclopoid"
"2601","Cyclopoid"
"2602","Cyclopoid"
"2603","Cyclopoid"
"2604","Cyclopoid"
"2605","Cyclopoid"
"2607","Cyclopoid"
"2608","Cyclopoid"
"2609","Cyclopoid"
"2610","Cyclopoid"
"2611","Cyclopoid"
"2612","Cyclopoid"
"2701","Cyclopoid"
"2702","Cyclopoid"
"2703","Cyclopoid"
"2704","Cyclopoid"
"2705","Cyclopoid"
"2706","Cyclopoid"
"2707","Cyclopoid"
"2709","Cyclopoid"
"2710","Cyclopoid"
"2711","Cyclopoid"
"2712","Cyclopoid"
"2801","Cyclopoid"
"2802","Cyclopoid"
"2803","Cyclopoid"
"2804","Cyclopoid"
"2805","Cyclopoid"
"2806","Cyclopoid"
"2807","Cyclopoid"
"2809","Cyclopoid"
"2810","Cyclopoid"
"2811","Cyclopoid"
"2812","Cyclopoid"
"2901","Calanoid"
"2902","Cyclopoid"
"2903","Cyclopoid"
"2904","Cyclopoid"
"2905","Cyclopoid"
"2906","Cyclopoid"
"2908","Cyclopoid"
"2909","Cyclopoid"
"2910","Calanoid"
"2911","Cyclopoid"
"2912","Cyclopoid"
"3001","Cyclopoid"
"3002","Cyclopoid"
"3004","Cyclopoid"
"3006","Cyclopoid"
"3007","Calanoid"
"3008","Calanoid"
"3009","Cyclopoid"
"3010","Cyclopoid"
"3011","Cyclopoid"
"3012","Cyclopoid"
