genus,species,low_lat,low_lat_locality,low_coords,low_lat_elevation,notes,high_lat,high_lat_locality,high_lat_coords,high_lat_elevation,notes,references
Cyclops,scutifer,41.5,"Mt Tom Pond, Connecticut, USA","41.5 N, 73.28 W",268,,81.8,"Lake Hazen and Skeleton pond, Ellesmere Island, Nunavut, Canada (at same latitude)","81.8 N, 71 W [Lake Hazen]",156,,"(L)Elgmork,1967; (H)McLaren, 1964; (H)Patalas et al. 1994; (H)Elgmork, 2004 "
Megacyclops,viridis,33.4,"Jeju Island, Korea","33.4 N, 126.5 E",1864,"Southern limit is poorly understood, it may be closer to Equator; the record from Jeju Island is the southernmost one sufficiently documented. Optional record from Jingdong, 24.45 N 100.8E, 1164 m asl, SW Yunnan, China (Shen & Tai, 1964a,b)",72.4,"Samoylov Island, Lena Delta, Siberia","72.4 N, 126.5 E",12,,(L)Chang 2013; (H)Abramova et al. 2017 
Eucyclops,macruroides,34.4,"Jeollanam-do and Gyeongsangnam-do Provinces, South Korea",,,"The South Korean record (without exact locality name) is well documented, yet southern limit may be closer to Equator, optional record  from Menghai, southern Yunnan, 22.0 N 100.4 E, 1212 m asl (Shen & Tai, 1964a,b)",71.5,"Anabar Plateau, Siberia",71.5 N 103-107 E,<50 ,no exact locality data; coordinates were taken from the map in Fig. 1 by  Chertoprud et al. 2024 (incl. Supplemental material with species list); sampling sites along Kotuykan and Kotuy rivers ,(L)Chang 2012; (H)Chertoprud et al. 2024 
Thermocyclops,oithonoides,33.1,"Lake Agualmame Sidi Ali, Morocco, Middle Atlas Mts.","33. 1 N, 5.0 W",2080,relict population?,67.0,regions Ostrobottnia borealis & Kuusamo in Finland,,,no exact locality data,(L)Kiefer 1954; (H)Silfverberg1999; (H)Nilssen & Wærvågen 2000  
Eucyclops,serrulatus,31.0,"on flancs of Jbel Toubkal, High Atlas Mts, Morocco","31.0 N, 7.9 W",3200,,72.4,"Samoylov Island, Lena Delta, Siberia","72.4  N, 126.5 E",12,,(L)Dumont & Decraemer; (H)Abramova et al. 2017 
Macrocyclops,albidus,0,"Lake Diatas, Western Sumatra, Indonesia","1.1 S, 100.75 E",1523,NOTE MCS: Changed low lat value from 1.1 to 0 since the distirbution crosses the equator,72.4,"Samoylov Island, Lena Delta, Siberia","72.4 N, 126.5 E",12,,(L)Kiefer 1933; (H) Abramova et al. 2017
Mesocyclops,leuckarti,34.4,"Jeollanam-do, SW coast of South Korea","34.4 N, 126.2",,no exact locality name provided,72.4,"Kurungnakh and
Argaa-Bilir-Aryta Islands (southern part of the Lena River Delta) Siberia","72.4 N, 126.4 E",10,,(L)Chang 2013; (H)Novichkova et al. 2020; (H)Novikov et al. 2023 
Acanthocyclops,einslei,36.7,"Lake Kahoku-gata, Honshu Island, Japan","36.7  N, 136.7 E",0,"The Kahoku record is the southernmost one of a continuous species range; optional  (substantiated, southernmost extralimitial) record is: Lake Singkarak (West Sumatra, Indonesia) 0.6 S, 100.6 E, 361 m asl (Kiefer 1933; Mirabdullayev & Defaye 2004)",60.0,stream at Lake Maridalsvann (Oslo) ,"60.0 N, 10.8 E",254,,(L)Kawabata & Defaye 1994; (L)Mirabdullayev & Defaye 2004; (H)Alekseev et al. 2021
Macrocyclops,fuscus,26.50," Okinawa Island, Japan",26.5 N 127.9 E,< 503 ,"The Okinawa record is the southernmost one relatively well documented; optional record closer to Equator: Nam Nao National Park, NW Thailand, stream, 16 C, ca 16.7 N, 101.5 E, 907 m asl (Alekseev & Sanoamuang 2016)",69.3,"Vaggatem, Norway","69.3 N, 29.3 E",51,,"(L)Ishida 2002; (H) Species online ‒ Artsdatabanken.no, Small Crustaceans in fresh waters https://biodiversity.no/Pages/231126/?Key=228 "
Eucyclops,speratus,36.6,Northern Tunisia,,,"Southern limit of the distribution is poorly understood. Value in brackets refers to the sister species, E. sibiricus. NOTE MCS: Bracket values removed in the CSV but still present in the excel sheet",70.6,"Hammerfest Kommune, Finnmark, Norway  [Lena River, Delta - see comments in References document]","70.6 N, 24.7 E",256,"Value in brackets refers to the sister species, E. sibiricus.","(L)Turki & Turki 2010; (H)Species online ‒ Artsdatabanken.no, Small Crustaceans in fresh waters https://biodiversity.no/Pages/231126/?Key=228 "
Paracyclops,affinis,0.5 ,"Danau Singkarak, Sumatra, Indonesia","0.5 S, 100.5 E",361,,70.5,"Coallesuddanjavri, Finnmark, Norway","70.5 N, 28.0 E",44,,"(L)Kiefer 1933; (L)Karaytug 1999; (H)Species online ‒ Artsdatabanken.no, Small Crustaceans in fresh waters https://biodiversity.no/Pages/231126/?Key=228 "
Ectocyclops,phaleratus,36.8,Lake Keddara Northern Algeria,"36.8 N, 3.3 E",13,"There are some more southern records of E. phaleratus, yet their true taxonomic identity remains uncertain. ",65.9,"Røssvatnet, Norway","65.9 N, 14.4 E",398,,"(L)Hamaidi et al. 2010; (H)Species online ‒ Artsdatabanken.no, Small Crustaceans in fresh waters https://biodiversity.no/Pages/231126/?Key=228 "
