"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"0401,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;;972;;;
"0402,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1169;;;
"0403,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.) ;1863;CVI;female;P;770;;;
"0404,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;P;1380,8;;;
"0405,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;;1241,6;;;
"0406,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1207,8;;;
"0407,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CV;female;;1007,7;;;
"0408,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;;1324,2;;;
"0409,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CV;female;;1235,3;;;
"0410,""Calanoid""";Eudiaptomus;  ;;;CV;female;;1124,8;;;
"0411,""Calanoid""";;;;;;;;;lack of tube;;
"0502,""Cyclopoid""";Eucyclops;serrulatus;(Fischer);1851;CVI;female;;1225;;;
"0503,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;955;;;
"0504,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;;1429,4;;;
"0505,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.) ;1863;CVI;female;P;730;;;
"0506,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;960;"P4 with aberrant morphology on one side of the leg; antennule with aberrant morphology on the terminal segments";;
"0507,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;955;;;
"0508,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;;1405,3;;;
"0509,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.) ;1863;CVI;female;P;715;;;
"0510,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1005;;;
"0511,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1025;Antennal enp2 with 8 setae (7 setae-state  is normal);;
